date,country,platform,customer_type,payment_method,sessions,conversions,payment_failures
2026-09-21,India,Web,Returning,Card,107,12,2
2026-09-05,India,Android,New,Wallet,158,18,3
2026-09-02,India,Web,New,Card,179,21,3
2026-09-20,India,Android,New,Wallet,216,25,4
2026-09-18,Singapore,Web,Returning,Wallet,121,14,2
2026-09-01,US,Android,Returning,UPI,121,14,2
2026-09-05,US,iOS,New,Card,147,17,2
2026-09-04,UK,iOS,Returning,Card,236,28,4
2026-09-15,India,iOS,New,Wallet,125,15,2
2026-09-21,UK,Android,New,Wallet,67,8,1
2026-09-02,US,iOS,New,Card,271,32,5
2026-09-04,Singapore,iOS,Returning,Wallet,263,31,5
2026-09-12,US,iOS,Returning,Card,221,26,4
2026-09-09,India,Android,New,Wallet,236,28,4
2026-09-08,US,iOS,Returning,UPI,286,34,5
2026-09-21,US,Android,Returning,Card,108,12,2
2026-09-02,UK,iOS,Returning,Card,104,12,2
2026-09-19,UK,Web,Returning,UPI,276,33,5
2026-09-21,Singapore,Web,Returning,Card,113,13,2
2026-09-18,UK,Android,Returning,Wallet,152,18,3
2026-09-12,US,Web,Returning,Card,243,29,4
2026-09-02,India,Web,New,Wallet,158,18,3
2026-09-20,India,iOS,Returning,Wallet,169,20,3
2026-09-17,UK,Android,New,Wallet,234,28,4
2026-09-04,UK,Android,Returning,Card,125,15,2
2026-09-14,US,iOS,New,Wallet,274,32,5
2026-09-09,US,Android,New,Wallet,126,15,2
2026-09-21,US,Web,Returning,Card,188,22,3
2026-09-17,India,Android,Returning,UPI,54,6,1
2026-09-04,UK,iOS,New,Card,111,13,2
2026-09-19,India,Web,Returning,Card,300,36,6
2026-09-18,US,Web,Returning,Wallet,92,11,1
2026-09-09,Singapore,Web,New,Wallet,129,15,2
2026-09-13,UK,iOS,Returning,Card,113,13,2
2026-09-08,India,iOS,New,Wallet,191,22,3
2026-09-08,US,Web,New,Wallet,211,25,4
2026-09-02,US,Web,New,UPI,68,8,1
2026-09-17,US,iOS,Returning,Card,188,22,3
2026-09-05,Singapore,Web,Returning,UPI,98,11,1
2026-09-04,India,Android,Returning,UPI,158,18,3
2026-09-14,Singapore,Android,New,Wallet,217,26,4
2026-09-21,India,Web,Returning,Wallet,136,16,2
2026-09-04,US,Web,New,Wallet,164,19,3
2026-09-05,Singapore,Web,Returning,UPI,113,13,2
2026-09-03,Singapore,Android,New,Card,216,25,4
2026-09-18,India,Web,New,Card,154,18,3
2026-09-16,Singapore,Web,Returning,Card,92,11,1
2026-09-13,India,iOS,Returning,UPI,123,14,2
2026-09-14,Singapore,Web,New,UPI,105,12,2
2026-09-02,India,Android,Returning,Card,62,7,1
2026-09-19,Singapore,Android,New,Card,295,35,5
2026-09-17,India,Web,New,Wallet,67,8,1
2026-09-08,Singapore,Web,New,Wallet,202,24,4
2026-09-02,India,iOS,Returning,UPI,102,12,2
2026-09-11,US,iOS,Returning,Card,221,26,4
2026-09-21,UK,iOS,Returning,Card,52,6,1
2026-09-15,India,Web,New,Wallet,117,14,2
2026-09-05,UK,Web,New,UPI,122,14,2
2026-09-06,Singapore,Android,Returning,Wallet,256,30,5
2026-09-21,India,Android,Returning,Wallet,76,9,1
2026-09-05,UK,Web,New,Wallet,191,22,3
2026-09-05,UK,iOS,New,Wallet,137,16,2
2026-09-07,UK,Android,Returning,UPI,281,33,5
2026-09-02,India,Android,Returning,UPI,61,7,1
2026-09-01,UK,Web,Returning,Card,239,28,4
2026-09-15,Singapore,Android,New,Card,69,8,1
2026-09-05,India,iOS,New,UPI,82,9,1
2026-09-02,UK,iOS,New,UPI,103,12,2
2026-09-08,India,iOS,Returning,Wallet,241,28,4
2026-09-05,US,Web,New,UPI,56,6,1
2026-09-06,UK,iOS,New,UPI,90,10,1
2026-09-04,Singapore,Web,Returning,Card,101,12,2
2026-09-15,UK,iOS,New,Card,56,6,1
2026-09-07,Singapore,iOS,Returning,Card,297,35,5
2026-09-09,UK,Android,Returning,Wallet,265,31,5
2026-09-18,UK,Web,New,UPI,95,11,1
2026-09-19,UK,Web,New,Wallet,161,19,3
2026-09-12,UK,iOS,New,UPI,280,33,5
2026-09-19,US,iOS,New,Wallet,161,19,3
2026-09-01,US,iOS,Returning,Card,292,35,5
